May 31 13:51:54.687 [info] circuit_build_times_set_timeout(): Based on 1000 circuit times, it looks like we don't need to wait so long for circuits to finish. We will now assume a circuit is too slow to use after waiting 1125 milliseconds.
May 31 13:52:49.980 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1112ms (1111.929459ms, 60000.000000ms, Xm: 397, a: 1.562689, r: 0.198000) based on 1000 circuit times
May 31 13:52:50.223 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1117ms (1116.506886ms, 60000.000000ms, Xm: 397, a: 1.556480, r: 0.195000) based on 1000 circuit times
May 31 13:52:58.191 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1103ms (1103.003326ms, 60000.000000ms, Xm: 432, a: 1.716978, r: 0.200000) based on 1000 circuit times
May 31 13:53:08.315 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1103ms (1102.757760ms, 60000.000000ms, Xm: 432, a: 1.717386, r: 0.200000) based on 1000 circuit times
May 31 13:53:12.778 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1103ms (1102.664204ms, 60000.000000ms, Xm: 432, a: 1.717542, r: 0.200000) based on 1000 circuit times
May 31 13:53:13.170 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1103ms (1102.846698ms, 60000.000000ms, Xm: 432, a: 1.717239, r: 0.200000) based on 1000 circuit times
May 31 13:53:13.302 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1105ms (1104.651632ms, 60000.000000ms, Xm: 432, a: 1.714248, r: 0.201000) based on 1000 circuit times
May 31 13:53:13.964 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1104ms (1103.772253ms, 60000.000000ms, Xm: 432, a: 1.715703, r: 0.201000) based on 1000 circuit times
May 31 13:53:17.166 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1108ms (1107.558393ms, 60000.000000ms, Xm: 432, a: 1.709463, r: 0.201000) based on 1000 circuit times
May 31 13:53:17.659 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1111ms (1111.225658ms, 60000.000000ms, Xm: 432, a: 1.703482, r: 0.202000) based on 1000 circuit times
May 31 13:53:17.752 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1112ms (1112.119624ms, 60000.000000ms, Xm: 432, a: 1.702033, r: 0.202000) based on 1000 circuit times
May 31 13:53:17.815 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1109ms (1108.870104ms, 60000.000000ms, Xm: 432, a: 1.707316, r: 0.202000) based on 1000 circuit times
May 31 13:53:18.176 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1109ms (1108.857553ms, 60000.000000ms, Xm: 432, a: 1.707337, r: 0.202000) based on 1000 circuit times
May 31 13:53:19.054 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1108ms (1108.273991ms, 60000.000000ms, Xm: 433, a: 1.712493, r: 0.202000) based on 1000 circuit times
May 31 13:53:19.142 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1109ms (1109.243413ms, 60000.000000ms, Xm: 433, a: 1.710902, r: 0.202000) based on 1000 circuit times
May 31 13:53:19.250 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1110ms (1110.037606ms, 60000.000000ms, Xm: 433, a: 1.709601, r: 0.203000) based on 1000 circuit times
May 31 13:53:19.274 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1110ms (1109.739466ms, 60000.000000ms, Xm: 433, a: 1.710089, r: 0.203000) based on 1000 circuit times
May 31 13:53:19.630 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1126ms (1126.317049ms, 60000.000000ms, Xm: 393, a: 1.528578, r: 0.195000) based on 1000 circuit times
May 31 13:53:19.838 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1139ms (1138.829406ms, 60000.000000ms, Xm: 373, a: 1.441919, r: 0.195000) based on 1000 circuit times
May 31 13:53:19.902 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1140ms (1139.590890ms, 60000.000000ms, Xm: 373, a: 1.441056, r: 0.195000) based on 1000 circuit times
May 31 13:53:20.149 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1142ms (1141.957615ms, 60000.000000ms, Xm: 373, a: 1.438384, r: 0.196000) based on 1000 circuit times
May 31 13:53:20.705 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1141ms (1141.055987ms, 60000.000000ms, Xm: 373, a: 1.439400, r: 0.195000) based on 1000 circuit times
May 31 13:53:21.506 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1143ms (1143.354826ms, 60000.000000ms, Xm: 373, a: 1.436814, r: 0.195000) based on 1000 circuit times
May 31 13:53:21.973 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 1143ms (1143.044335ms, 60000.000000ms, Xm: 373, a: 1.437162, r: 0.195000) based on 1000 circuit times
