May 29 08:47:41.576 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5513.543297ms, 254223.916761ms, Xm: 704, a: 0.781970, r: 0.272000
May 29 08:47:42.700 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5497.576078ms, 252122.969104ms, Xm: 704, a: 0.783073, r: 0.270000
May 29 08:47:46.580 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5522.019077ms, 255343.761722ms, Xm: 704, a: 0.781387, r: 0.269000
May 29 08:51:24.250 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5479.620138ms, 229939.353501ms, Xm: 736, a: 0.801688, r: 0.270000
May 29 08:51:48.294 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5509.782068ms, 233579.476499ms, Xm: 736, a: 0.799502, r: 0.270000
May 29 09:00:07.037 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5495.874626ms, 235456.710446ms, Xm: 730, a: 0.797261, r: 0.268000
May 29 09:00:23.578 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5504.386393ms, 230008.581391ms, Xm: 741, a: 0.802592, r: 0.270000
May 29 09:00:25.502 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5497.508261ms, 225211.016790ms, Xm: 748, a: 0.806878, r: 0.270000
May 29 09:01:40.580 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5517.108846ms, 198447.573312ms, Xm: 805, a: 0.836173, r: 0.274000
May 29 09:01:51.704 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5413.757595ms, 167683.087855ms, Xm: 856, a: 0.872594, r: 0.279000
May 29 09:19:47.389 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5522.350174ms, 219857.847231ms, Xm: 763, a: 0.813135, r: 0.268000
May 29 09:23:05.044 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5406.710776ms, 181793.114069ms, Xm: 818, a: 0.852216, r: 0.275000
May 29 09:27:57.655 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5500.231234ms, 210114.735393ms, Xm: 777, a: 0.822356, r: 0.268000
May 29 09:28:03.111 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5437.897044ms, 190844.512757ms, Xm: 804, a: 0.841955, r: 0.270000
May 29 09:37:02.227 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5560.701794ms, 196110.918326ms, Xm: 820, a: 0.840800, r: 0.262000
May 29 09:52:28.089 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6547.779639ms, 318043.490212ms, Xm: 813, a: 0.771487, r: 0.248000
May 29 09:52:28.149 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6492.065811ms, 310361.344536ms, Xm: 813, a: 0.774660, r: 0.250000
May 29 09:52:29.196 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6532.245200ms, 315889.220079ms, Xm: 813, a: 0.772366, r: 0.249000
May 29 09:56:06.722 [info] circuit_build_times_set_timeout(): Circuit timeout data: 7526.751327ms, 457992.413143ms, Xm: 828, a: 0.729174, r: 0.251000
May 29 10:00:51.591 [info] circuit_build_times_set_timeout(): Circuit timeout data: 8508.286491ms, 723413.397776ms, Xm: 782, a: 0.674268, r: 0.255000
May 29 10:05:47.246 [info] circuit_build_times_set_timeout(): Circuit timeout data: 9605.060613ms, 1050779.124628ms, Xm: 771, a: 0.638069, r: 0.251000
May 29 10:09:51.860 [info] circuit_build_times_set_timeout(): Circuit timeout data: 10658.052296ms, 1703810.000000ms, Xm: 685, a: 0.586390, r: 0.247000
May 29 10:10:37.596 [info] circuit_build_times_set_timeout(): Circuit timeout data: 10495.023787ms, 1687454.136253ms, Xm: 685, a: 0.589702, r: 0.246000
May 29 10:11:21.870 [info] circuit_build_times_set_timeout(): Circuit timeout data: 10525.329484ms, 1638551.887908ms, Xm: 699, a: 0.593475, r: 0.247000
May 29 10:11:28.923 [info] circuit_build_times_set_timeout(): Circuit timeout data: 10455.274362ms, 1460380.465797ms, Xm: 736, a: 0.606504, r: 0.248000
May 29 10:11:29.829 [info] circuit_build_times_set_timeout(): Circuit timeout data: 10534.292696ms, 1492184.377641ms, Xm: 736, a: 0.604788, r: 0.249000
May 29 10:12:12.003 [info] circuit_build_times_set_timeout(): Circuit timeout data: 11558.027414ms, 1681595.029742ms, Xm: 796, a: 0.601538, r: 0.260000
May 29 10:12:23.593 [info] circuit_build_times_set_timeout(): Circuit timeout data: 12613.240513ms, 2149121.981956ms, Xm: 798, a: 0.583046, r: 0.259000
May 29 10:12:43.817 [info] circuit_build_times_set_timeout(): Circuit timeout data: 13564.510225ms, 2470910.000000ms, Xm: 782, a: 0.564051, r: 0.258000
May 29 10:12:51.081 [info] circuit_build_times_set_timeout(): Circuit timeout data: 14555.719498ms, 2470910.000000ms, Xm: 888, a: 0.575464, r: 0.265000
May 29 10:13:25.799 [info] circuit_build_times_set_timeout(): Circuit timeout data: 15534.287722ms, 2470910.000000ms, Xm: 914, a: 0.568109, r: 0.268000
May 29 10:14:00.213 [info] circuit_build_times_set_timeout(): Circuit timeout data: 15416.614849ms, 2470910.000000ms, Xm: 917, a: 0.570299, r: 0.267000
May 29 10:14:02.264 [info] circuit_build_times_set_timeout(): Circuit timeout data: 15566.401251ms, 2470910.000000ms, Xm: 917, a: 0.568352, r: 0.268000
May 29 10:14:07.626 [info] circuit_build_times_set_timeout(): Circuit timeout data: 15434.165458ms, 2470910.000000ms, Xm: 920, a: 0.570730, r: 0.267000
May 29 10:14:28.878 [info] circuit_build_times_set_timeout(): Circuit timeout data: 15533.946164ms, 2470910.000000ms, Xm: 924, a: 0.570304, r: 0.268000
May 29 10:14:58.093 [info] circuit_build_times_set_timeout(): Circuit timeout data: 16581.447872ms, 2470910.000000ms, Xm: 924, a: 0.557414, r: 0.268000
