Aug 29 17:11:11.528 [debug] read_to_chunk(): Read 244 bytes. 244 on inbuf.
Aug 29 17:11:11.553 [debug] read_to_chunk(): Read 134 bytes. 134 on inbuf.
Aug 29 17:11:11.553 [debug] read_to_chunk(): Read 98 bytes. 98 on inbuf.
Aug 29 17:11:11.662 [debug] read_to_chunk(): Encountered eof on fd 35
Aug 29 17:11:11.704 [debug] read_to_chunk(): Read 39 bytes. 39 on inbuf.
Aug 29 17:11:11.728 [debug] read_to_chunk(): Read 100 bytes. 100 on inbuf.
Aug 29 17:11:11.729 [debug] read_to_chunk(): Read 109 bytes. 109 on inbuf.
Aug 29 17:11:11.731 [debug] read_to_chunk(): Read 99 bytes. 99 on inbuf.
Aug 29 17:11:11.990 [debug] read_to_chunk(): Read 39 bytes. 39 on inbuf.
Aug 29 17:11:12.313 [debug] read_to_chunk(): Read 39 bytes. 39 on inbuf.
Aug 29 17:11:12.928 [debug] read_to_chunk(): Read 64 bytes. 64 on inbuf.
Aug 29 17:11:12.929 [debug] read_to_chunk(): Read 170 bytes. 170 on inbuf.
Aug 29 17:11:13.508 [debug] read_to_chunk(): Read 31 bytes. 31 on inbuf.
Aug 29 17:11:13.666 [debug] read_to_chunk(): Read 3 bytes. 3 on inbuf.
Aug 29 17:11:13.666 [debug] read_to_chunk(): Read 84 bytes. 84 on inbuf.
Aug 29 17:11:13.667 [debug] read_to_chunk(): Read 28 bytes. 28 on inbuf.
Aug 29 17:11:13.697 [debug] read_to_chunk(): Read 101 bytes. 101 on inbuf.
Aug 29 17:11:13.698 [debug] read_to_chunk(): Read 3 bytes. 3 on inbuf.
Aug 29 17:11:13.698 [debug] read_to_chunk(): Read 84 bytes. 84 on inbuf.
Aug 29 17:11:13.698 [debug] read_to_chunk(): Read 21 bytes. 21 on inbuf.
Aug 29 17:11:13.699 [debug] read_to_chunk(): Read 3 bytes. 3 on inbuf.
Aug 29 17:11:13.700 [debug] read_to_chunk(): Read 84 bytes. 84 on inbuf.
Aug 29 17:11:13.700 [debug] read_to_chunk(): Read 18 bytes. 18 on inbuf.
Aug 29 17:11:13.731 [debug] read_to_chunk(): Read 97 bytes. 97 on inbuf.
Aug 29 17:11:13.732 [debug] read_to_chunk(): Read 3 bytes. 3 on inbuf.
Aug 29 17:11:13.732 [debug] read_to_chunk(): Read 84 bytes. 84 on inbuf.
Aug 29 17:11:13.732 [debug] read_to_chunk(): Read 20 bytes. 20 on inbuf.
Aug 29 17:11:13.733 [debug] read_to_chunk(): Read 97 bytes. 97 on inbuf.
Aug 29 17:11:13.924 [debug] read_to_chunk(): Read 1572 bytes. 1572 on inbuf.
Aug 29 17:11:13.924 [debug] read_to_chunk(): Read 1896 bytes. 1974 on inbuf.
Aug 29 17:11:14.019 [debug] read_to_chunk(): Read 517 bytes. 517 on inbuf.
